designer,difficulty_level,rho_target_performance,rho_target_failure_rate_view,best_iteration,best_gap,mean_search_gap,holdout_gap,best_rho_hat_task,holdout_rho_hat_task,holdout_coverage,holdout_selective_risk,holdout_false_acceptance_count,status
feedback_coordinate,hard,0.25,0.75,6,0.0234375,0.06640625,0.0078125,0.2265625,0.2578125,0.89453125,0.7467248908296943,17,COMPLETED
feedback_coordinate,medium,0.5,0.5,1,0.015625,0.056640625,0.01171875,0.515625,0.51171875,0.8359375,0.48598130841121495,7,COMPLETED
feedback_coordinate,easy,0.75,0.25,6,0.00390625,0.05078125,0.0390625,0.74609375,0.7890625,0.87109375,0.21973094170403587,6,COMPLETED
feedback_coordinate,trivial,0.9,0.1,3,0.006249999999999978,0.03523437500000002,0.05625000000000002,0.90625,0.84375,1.0,0.15625,0,COMPLETED
random_sampling_ppr,hard,0.25,0.75,8,0.078125,0.179296875,0.0625,0.328125,0.3125,0.8828125,0.6814159292035398,19,COMPLETED
random_sampling_ppr,medium,0.5,0.5,8,0.00390625,0.0734375,0.06640625,0.49609375,0.43359375,0.8515625,0.5688073394495413,10,COMPLETED
random_sampling_ppr,easy,0.75,0.25,10,0.109375,0.223828125,0.17578125,0.640625,0.57421875,0.8359375,0.4252336448598131,5,COMPLETED
random_sampling_ppr,trivial,0.9,0.1,4,0.26328125,0.359375,0.23984375000000002,0.63671875,0.66015625,0.84375,0.35185185185185186,7,COMPLETED
best_of_n,hard,0.25,0.75,9,0.02734375,0.172265625,0.00390625,0.27734375,0.24609375,0.85546875,0.7534246575342466,9,COMPLETED
best_of_n,medium,0.5,0.5,6,0.00390625,0.06953125,0.0,0.50390625,0.5,0.875,0.45089285714285715,7,COMPLETED
best_of_n,easy,0.75,0.25,10,0.0625,0.239453125,0.08984375,0.6875,0.66015625,0.984375,0.32936507936507936,11,COMPLETED
best_of_n,trivial,0.9,0.1,9,0.3296875,0.467578125,0.36484375,0.5703125,0.53515625,0.87890625,0.4222222222222222,15,COMPLETED
